,id,test_class,train_class,mag,k,M,B,result_by_mag
0,0,B,B,0.07127084937739588,1,0.5429758672448715,0.07127084937739588,B
1,0,B,B,0.07127084937739588,2,0.5429758672448715,0.07127084937739588,B
2,0,B,B,0.2032354961340737,3,0.5429758672448715,0.11525906496295517,B
3,0,B,B,0.21284460536652194,4,0.5429758672448715,0.13965545006384686,B
4,0,B,B,0.21284460536652194,5,0.5429758672448715,0.15429328112438187,B
5,0,B,B,0.23740410319881172,6,0.5429758672448715,0.1681450848034535,B
6,0,B,B,0.2911849418827145,7,0.5429758672448715,0.18572220724334793,B
7,0,B,B,0.2911849418827145,8,0.5429758672448715,0.19890504907326872,B
8,0,B,B,0.29807958451102035,9,0.5429758672448715,0.2099244418996856,B
9,0,B,B,0.29807958451102035,10,0.5429758672448715,0.21873995616081907,B
10,0,B,B,0.31073117604796574,11,0.5429758672448715,0.22710279433237784,B
11,0,B,B,0.31073117604796574,12,0.5429758672448715,0.23407182614201016,B
12,0,B,B,0.32993375074798,13,0.5429758672448715,0.24144582034246936,B
13,0,B,B,0.32993375074798,14,0.5429758672448715,0.24776638680000582,B
14,0,B,B,0.3481328638748958,15,0.5429758672448715,0.2544574852716652,B
15,0,B,B,0.3706942725249109,16,0.5429758672448715,0.261722284474993,B
16,0,B,B,0.38212942687412005,17,0.5429758672448715,0.2688050575572946,B
17,0,B,B,0.38212942687412005,18,0.5429758672448715,0.2751008558526738,B
18,0,B,B,0.4036841718198849,19,0.5429758672448715,0.2818683987983165,B
19,0,B,B,0.4964542171598262,20,0.5429758672448715,0.29259768971639194,B
20,0,B,B,0.4964542171598262,21,0.5429758672448715,0.3023051434041745,B
21,0,B,B,0.51799134557389,22,0.5429758672448715,0.3121090616846161,B
22,0,B,B,0.5224503368861229,23,0.5429758672448715,0.3212543345194642,B
23,0,B,M,0.5429758672448715,24,0.5429758672448715,0.3212543345194642,B
24,0,B,M,0.5429758672448715,25,0.5429758672448715,0.3212543345194642,B
25,0,B,B,0.5583750995155196,26,0.5429758672448715,0.3311343663942999,B
26,0,B,B,0.5583750995155196,27,0.5429758672448715,0.3402239957191487,B
27,0,B,B,0.656637183344835,28,0.5429758672448715,0.35239373370475197,B
28,0,B,B,0.6862724347096485,29,0.5429758672448715,0.3647596115197481,B
29,0,B,B,0.6862724347096485,30,0.5429758672448715,0.37624221234795885,B
30,0,B,B,0.7253551431365066,31,0.5429758672448715,0.38828058927170184,B
31,0,B,B,0.7285182366742452,32,0.5429758672448715,0.39962184418512,B
32,0,B,B,0.7285182366742452,33,0.5429758672448715,0.4102314052331563,B
33,0,B,B,0.7289954332216549,34,0.5429758672448715,0.4201927811077969,B
34,0,B,B,0.7289954332216549,35,0.5429758672448715,0.4295504372324593,B
35,0,B,B,0.744837302893736,36,0.5429758672448715,0.43882358034014385,B
36,0,B,B,0.744837302893736,37,0.5429758672448715,0.4475668295559608,B
37,0,B,B,0.7481689916591708,38,0.5429758672448715,0.45591688961438326,B
38,0,B,B,0.7481689916591708,39,0.5429758672448715,0.4638155950750532,B
39,0,B,B,0.7710815909785736,40,0.5429758672448715,0.47190154233567216,B
40,0,B,B,0.8170855485945534,41,0.5429758672448715,0.48075241429102805,B
41,0,B,B,0.8170855485945534,42,0.5429758672448715,0.48916074264861625,B
42,0,B,B,0.8391945033855164,43,0.5429758672448715,0.49769815144707724,B
43,0,B,B,0.8391945033855164,44,0.5429758672448715,0.5058290169694211,B
44,0,B,B,0.848877687081055,45,0.5429758672448715,0.5138068930185289,B
45,0,B,B,0.848877687081055,46,0.5429758672448715,0.5214221383381318,B
46,0,B,B,0.9363929920462133,47,0.5429758672448715,0.530643712864978,B
47,0,B,B,0.9379410376122378,48,0.5429758672448715,0.5394980025333966,B
48,0,B,B,0.9379410376122378,49,0.5429758672448715,0.5479755139180529,M
49,0,B,B,0.9774966908133047,50,0.5429758672448715,0.5569238717700372,M
50,0,B,B,0.9774966908133047,51,0.5429758672448715,0.5655069905260223,M
51,0,B,B,1.0549734455077207,52,0.5429758672448715,0.5752963196256562,M
52,0,B,B,1.0549734455077207,53,0.5429758672448715,0.584701753466481,M
53,0,B,B,1.0603823225443605,54,0.5429758672448715,0.5938494567179787,M
54,0,B,M,1.0823041957810857,55,0.7227519767569429,0.5938494567179787,B
55,0,B,B,1.0927298089860953,56,0.7227519767569429,0.6032622935532261,B
56,0,B,B,1.0927298089860953,57,0.7227519767569429,0.6123265068019831,B
57,0,B,B,1.1360357157269787,58,0.7227519767569429,0.6218484924188011,B
58,0,B,B,1.2299622547522275,59,0.7227519767569429,0.6327076667461837,B
59,0,B,B,1.2299622547522275,60,0.7227519767569429,0.6431858174129566,B
60,0,B,M,1.2365031779004076,61,0.8511897770428091,0.6431858174129566,B
61,0,B,B,1.2758402934700022,62,0.8511897770428091,0.6540936532070435,B
62,0,B,B,1.292220285311997,63,0.8511897770428091,0.664909358835941,B
63,0,B,B,1.292220285311997,64,0.8511897770428091,0.6753645409438753,B
64,0,B,M,1.3987299668038076,65,0.9606978149950087,0.6753645409438753,B
65,0,B,M,1.5982480358092879,66,1.0669561851307219,0.6753645409438753,B
66,0,B,M,1.5982480358092879,67,1.1428550209419457,0.6753645409438753,B
67,0,B,B,1.6058768875615224,68,1.1428550209419457,0.6906188417080991,B
68,0,B,M,1.6080357750619168,69,1.201002615206942,0.6906188417080991,B
69,0,B,M,1.6080357750619168,70,1.2462285218574947,0.6906188417080991,B
70,0,B,B,1.6270398453754475,71,1.2462285218574947,0.7057224062833789,B
71,0,B,B,1.6270398453754475,72,1.2462285218574947,0.7203464926181737,B
72,0,B,M,1.6654532246124736,73,1.2881509921329926,0.7203464926181737,B
73,0,B,M,1.6654532246124736,74,1.3224511950856728,0.7203464926181737,B
74,0,B,B,1.811537254723241,75,1.3224511950856728,0.7373963482760654,B
75,0,B,M,1.8991892132022317,76,1.3705126965953858,0.7373963482760654,B
76,0,B,M,2.083444250970097,77,1.4253535853934405,0.7373963482760654,B
